pais,coords,region,urban,id
France,"[-53.359763103292366, -77.03300353086263]",Île-de-France,True,location_VEEWYQMS3F
USA,"[19.781026489562038, 3.519411782204429]",California,True,location_KEUUNWHSWO
Germany,"[177.4532509122372, 39.257110745441]",Ontario,True,location_VBRK6OWURQ
Mexico,"[14.402135893538286, 10.696246034704572]",California,True,location_SS17DCYTCK
Mexico,"[-82.38356508218047, -76.72270164123394]",Bavaria,True,location_29IBGBSTEG
UK,"[41.43899857077611, 85.1633230573363]",California,True,location_FYQT0ACAJD
Germany,"[-42.98450244408693, 53.52863587208253]",London,False,location_E873M0UUTO
USA,"[-23.872166899356642, 70.6145449560143]",Île-de-France,True,location_9CLAK0SSZB
Germany,"[-143.92287570625598, 64.26563562882367]",Ontario,True,location_CBER4XCN16
USA,"[92.24011767415112, 63.30880337993929]",London,True,location_1V9UNSR44E
Mexico,"[-41.390574812784706, 57.190461092660684]",Ontario,False,location_I18CZR9K9E
Mexico,"[-31.405035209173803, -5.234898506492428]",Baja California,True,location_QIHC23159O
Canada,"[-62.92188469769572, 29.9803006202702]",Ontario,True,location_BTRTEOSMMJ
UK,"[-150.14699857990163, -12.638330914752999]",California,True,location_MDJEACUH7H
France,"[-115.91096403384508, -25.329555779442018]",Île-de-France,True,location_G9QK0PJJPN
USA,"[-172.1001001160939, -62.746750497692645]",Bavaria,False,location_WAR9E4BW2G
UK,"[47.279646437134204, 21.48564919005989]",Baja California,True,location_TSCDSKZ1RJ
Mexico,"[-37.26887910453982, -24.40945722265323]",Bavaria,False,location_KL5VBZ9J9D
Mexico,"[38.9458786941957, 58.300643628932534]",Baja California,False,location_NWMZM2CMHY
USA,"[153.31962095499046, -51.951425633472624]",London,True,location_0LD3IS2ONL
USA,"[126.65848351490251, -61.58250942322764]",Bavaria,True,location_NJR721KZ87
Mexico,"[122.23749243765445, 50.79974233958683]",London,False,location_D3JP2ZV7KE
UK,"[7.503123326547637, -62.944928368964014]",Bavaria,True,location_2CQ6INMJZQ
UK,"[-138.54708270384344, -42.90681823391963]",Baja California,False,location_4WDK4TLWQN
Germany,"[-9.448259830830438, 29.26248333498441]",Bavaria,True,location_66LRRAICKP
USA,"[39.07251635081971, -42.84720908709174]",London,False,location_KESN8ZPOUU
France,"[-157.1742352604337, -49.16380079503989]",Bavaria,True,location_8OZ53RJIQO
USA,"[82.70150813922021, 80.24949460555115]",Ontario,False,location_OVRHLG8GG4
USA,"[-56.008343399625105, -22.8162840407105]",Bavaria,True,location_6Y5HO8MS15
Canada,"[-170.49581837969612, -29.84168604061375]",Ontario,True,location_QLIH2I6TQA
France,"[162.03856811005238, -63.617343716311254]",London,True,location_6E6NM1HQSU
UK,"[-131.19491341080445, -77.22694197109868]",Baja California,True,location_LNE1E3YIJG
Mexico,"[118.31817200355886, -6.296782025055549]",London,False,location_QDPYHGKK4O
France,"[-38.76282270001329, -30.653550081479878]",California,True,location_X9UBBOLOLQ
USA,"[-148.25482581085296, 1.368911820302614]",California,True,location_QCQRS4NBKK
USA,"[15.731566162570232, -84.0472731907006]",Île-de-France,False,location_UDQRYSGAXD
France,"[-14.031212712628331, 33.62963345915618]",Île-de-France,False,location_5OBMX6MVWD
Mexico,"[-113.53603310592611, 77.32358782239447]",California,False,location_L0ZI8PSURH
France,"[-62.33092754696929, -89.10762083753914]",California,False,location_CG3VU36X76
Germany,"[99.85141565999328, -22.71669859362828]",Bavaria,True,location_T6SH4OEYDP
Canada,"[-2.082735013287248, 56.58210163470204]",Île-de-France,False,location_YKVCB0KFM6
France,"[10.337397932328372, 60.70355796962269]",Baja California,False,location_20R2LMPJI7
Canada,"[137.1386677053511, 58.869976056433416]",London,False,location_F7BDDUB2BY
USA,"[-15.119962807447507, -21.903068948077276]",Ontario,True,location_MVV5ESLZNW
UK,"[-50.991416220573086, -13.163145821324918]",London,True,location_1X5NQZH9PE
UK,"[-98.27412225506667, 2.5523788084144456]",Ontario,False,location_B4TXFJ41JL
USA,"[-82.46430777845859, 17.290578563106905]",Ontario,True,location_P5BMXPUVKY
France,"[-68.59890449550805, 34.196953771654876]",California,True,location_FWR80LI8NA
USA,"[116.52225487593802, -79.74957373772574]",Île-de-France,False,location_EW5S5O6OGJ
UK,"[-174.92437036821482, 80.43417839407857]",Ontario,True,location_99R7G34ZHY
UK,"[159.2835865332492, -47.34093064504551]",California,False,location_WEFP5PCPI3
Mexico,"[174.92392595620169, 79.15995808980881]",Île-de-France,False,location_VJXT7998W5
UK,"[-59.30655922324766, 31.580917589879434]",Bavaria,True,location_8O4N111O9I
France,"[130.0882817562491, 36.89672519891482]",California,True,location_3IVLQLX8MO
Mexico,"[24.6086891481132, 67.99512715658707]",Ontario,False,location_4IQY69M05U
USA,"[154.80516221159183, -50.20694915507523]",London,True,location_KIT880KE9X
Canada,"[-151.04027715061653, -84.33170575455041]",Ontario,False,location_FQ504896W2
Mexico,"[109.5402649989689, 31.4687160217657]",Bavaria,False,location_K7JTH953GK
Mexico,"[-160.61923390250237, -19.29053732389201]",Baja California,True,location_TMPDLV38D9
USA,"[157.48523044652103, -53.945872545116245]",Île-de-France,True,location_GGYYBOE64H
France,"[170.92332330130932, 83.59677036180591]",Ontario,False,location_01IS3CVV4O
USA,"[-106.28987144208885, 21.003324698354348]",Bavaria,True,location_LXA8VO3GWH
Germany,"[105.93784277286869, 67.29313257607978]",London,True,location_QS7URHJNK9
UK,"[177.15935221307245, -38.27640832341523]",Baja California,True,location_JDQI75HEDT
France,"[-19.127867896983417, -60.196085575741606]",Île-de-France,False,location_8XWOFGUPUA
Mexico,"[-73.33445952369111, 49.003722105777626]",London,False,location_YUK7GEA4R4
Germany,"[150.24411039569213, -37.807687909871944]",London,True,location_1K7LTDVDAF
Germany,"[108.38556711058789, 54.14003542630826]",Bavaria,True,location_C419MBXYIE
Mexico,"[-125.86570697744453, 4.681671953218057]",Île-de-France,True,location_N9INE5VOZX
France,"[-75.59650578123713, -84.25151653161596]",Bavaria,False,location_E4BP4CVZPL
Germany,"[65.5905737885954, -86.02908360609887]",California,True,location_T769XYDFE7
USA,"[-45.39099341418719, 16.78873207645765]",Ontario,False,location_F9UN0OYHCJ
USA,"[75.18544094854343, -49.74037097495295]",California,False,location_8R6QZNGV16
France,"[-105.0790741823311, 58.896764364340015]",Bavaria,False,location_HEVFX8S5IM
Mexico,"[29.033560446549473, -62.18192474079001]",California,True,location_85MKFEEY0X
USA,"[145.70167654118865, -65.77754639042615]",Ontario,False,location_QNFGINRAKY
UK,"[64.00082639487167, 12.707143862821482]",London,False,location_Q3D6RU502D
Mexico,"[17.35678523615954, 3.8543087521838544]",California,False,location_OI81KG32D0
France,"[-105.66372565633203, -2.2202794030719275]",Ontario,False,location_07WIW7YAK4
Germany,"[-32.03530344064495, 72.80692926167029]",California,False,location_EFN4GMDGJC
UK,"[-129.22506443115466, -89.24859438995328]",California,True,location_IKTJWRQ7FQ
France,"[51.58952531199603, -18.472105030786423]",Baja California,False,location_XRKJFEKCTI
France,"[157.84484462264078, -35.50429809640862]",Baja California,True,location_3RLE1RPTCG
UK,"[-134.1272338594453, -58.659124180526234]",Île-de-France,True,location_M0QA8AFW4G
Mexico,"[35.44570735971507, -68.91301938984238]",London,False,location_O4Z3RG8UIL
Canada,"[153.94128419896157, -20.312442983930055]",London,False,location_FCAMC4BZZJ
Mexico,"[-91.16378434300661, -67.57438679418838]",Baja California,True,location_X6CB0K2AV0
USA,"[27.859390649187787, -24.137824405074426]",California,True,location_ZBXNDEFUDS
Mexico,"[115.57376663907019, 49.1330901010183]",London,False,location_IOXHSTKDYS
UK,"[-98.16589357580465, 75.00286536539784]",Baja California,False,location_MI20T4AKX2
Germany,"[-86.40516442367259, 24.947279191332782]",Bavaria,False,location_MXS2JMMW3T
Germany,"[-78.04909833072412, -86.6649969226012]",California,True,location_997LO5FP0Q
Germany,"[-57.11149129270996, 58.31686194737284]",London,True,location_NQ3T4RMEQG
UK,"[72.46901042216092, -19.83331992102609]",Île-de-France,False,location_56KMAIN62V
USA,"[-166.64638958600958, -2.0248910777627316]",California,True,location_OJ50N1FKEJ
Mexico,"[41.23036595325277, -45.5868927703176]",California,False,location_R796FUB79M
Canada,"[41.03009012909459, -35.75818687165879]",Ontario,True,location_4G5CAWCZWQ
Mexico,"[-64.31215400878774, -88.61899933550491]",Bavaria,True,location_E7W9XS8Y7T
Canada,"[-120.26166397103492, -72.77742801215841]",Baja California,False,location_QWGV8RGSZK
Germany,"[-175.33776879285645, 54.928707336126166]",Baja California,True,location_INV5VE63MG
USA,"[20.152670761759424, 13.464906371659339]",California,True,location_N9Z4G35GLN
Mexico,"[-143.27281120561784, -52.793023409274255]",Baja California,True,location_2PQ8C6Q5NQ
Germany,"[39.42978742031076, -76.92253867464001]",Bavaria,False,location_6FLYNQHI96
Mexico,"[146.15384409846502, -26.215089741267555]",Baja California,True,location_KJO4UR5KB1
USA,"[-85.06426265525162, -49.25923436978009]",London,False,location_Z2LXPLYEY8
Mexico,"[-109.9525607232118, -50.30015038471443]",Bavaria,False,location_4I6BSBJ5IL
France,"[116.9228269532237, -79.4947670542955]",Bavaria,False,location_V7CNAN558V
Canada,"[-142.39902052563662, 21.664504308127334]",Baja California,True,location_36QNWU3J82
Mexico,"[113.6392292372006, -59.904724145805915]",Baja California,False,location_5ELP11VGQU
USA,"[60.04285038384691, 9.290048746049308]",London,True,location_HM7XWVLNZ6
France,"[-103.67812488521285, -67.44090837085052]",Bavaria,True,location_PBH05FORET
USA,"[110.24337486549399, 14.975435836404273]",California,True,location_YMJ4QY37EA
France,"[-53.24544481049689, 76.4483334296684]",Ontario,False,location_36D8WEM9HO
France,"[-44.76075543528188, -13.54376585765796]",California,False,location_HJOCVG4COG
France,"[-166.90868418372293, 69.17532193386512]",Baja California,True,location_ZHPBFJ7DUE
UK,"[-33.59399957434519, -6.45245598709306]",Baja California,True,location_R4OXC996DT
UK,"[85.41714033320898, 65.6742312248455]",Ontario,True,location_1UGWRBNX4J
USA,"[-102.0952480011739, 49.07562848981448]",California,False,location_D6L4PFMXXR
Germany,"[-63.840714704537675, 38.55776428165058]",London,False,location_5JOCIVBVBR
Canada,"[-164.11747450917682, -10.55989694287814]",Ontario,True,location_CQQ9U7J1AK
France,"[101.80374158923678, 80.87038597552487]",London,False,location_3ELLGTB8LQ
Canada,"[-158.38267841939077, 42.79022019547915]",Ontario,False,location_7Z5CNT8EAI
UK,"[-150.3440796734398, 79.79090635528706]",Île-de-France,True,location_LC58GGTP4U
Canada,"[-146.84945710259194, 52.683382322974325]",Baja California,False,location_PPVIK9AJIO
France,"[-132.60612897481562, -38.5674197744835]",Ontario,True,location_VHTZBL1LWL
Canada,"[23.16615902851811, -31.278276864269785]",Île-de-France,False,location_EHEYTZFWDL
USA,"[-137.65164296565953, -4.605817157826621]",London,True,location_4E1X1ADGOA
UK,"[-111.63835179626774, -4.181016613943768]",Bavaria,False,location_9KE7CJDDPF
UK,"[10.90499776682077, 43.25555093819625]",Île-de-France,False,location_EL9DQUKG70
France,"[-79.14376278590638, 47.746103129656944]",Bavaria,True,location_E8NTLNH5EX
Canada,"[109.43776239166698, -6.242200604018464]",California,False,location_B58XUTYCMV
France,"[-107.60019253065461, 3.364502883423924]",Baja California,True,location_5PNR9QRYDV
Canada,"[161.3858714310494, -3.90194412969187]",Bavaria,False,location_W7PUA6HC9M
USA,"[17.93955528338566, -63.84464029548278]",California,False,location_FYBI1VH35M
UK,"[-157.20548896562485, 62.095642335797436]",Baja California,True,location_4BXZROKML1
Germany,"[105.09076744660803, -63.800713948009474]",Ontario,True,location_3YDUJKQRPL
France,"[103.70569875357972, 38.25413327247813]",Île-de-France,True,location_6ZG9IE50FN
USA,"[74.30621616936264, -38.01979020120288]",Baja California,False,location_QFCJ5F2RZI
Mexico,"[-45.69913008719743, -88.82956826241082]",California,True,location_YFQJD20RCD
Germany,"[-102.42721717257024, -2.751341570934912]",Bavaria,False,location_I9MKXYJTR7
USA,"[-32.27713202667505, -56.45435571560131]",Bavaria,True,location_CIODTBMR2N
France,"[30.526081747555594, -68.01364247799614]",Bavaria,False,location_PEDDHCXKP9
Germany,"[-111.22381239331473, -67.97420391905415]",Baja California,False,location_HIPGTXRUOY
Germany,"[166.47195530718272, 77.81412926152245]",Ontario,False,location_GKW1IIYRXC
Germany,"[46.487908030958465, -81.1473604484024]",London,False,location_KVGGNCVX53
Canada,"[105.70747258363673, 1.2886023108211049]",Ontario,False,location_GUTVXR5PQ8
Canada,"[-41.26741827675684, -31.22642905705947]",Île-de-France,True,location_ILZR1EN6QV
Germany,"[-174.38322220554926, 89.99541051647057]",California,False,location_Q0YU9QGRNK
France,"[-34.51835573778894, -31.532914209519888]",California,True,location_PSHSA9N87F
Mexico,"[157.21800789092111, -48.44039371548049]",California,True,location_0GN4T5EOWJ
Mexico,"[146.03594373367423, 69.87087389847082]",Bavaria,True,location_D2B7CRIC3U
USA,"[-43.94143460382142, 8.29743661580271]",California,False,location_A0A7Z4LK14
Mexico,"[-74.77643802428128, 30.676037422986]",Bavaria,False,location_IGOCDI0YFC
Canada,"[-6.977426278130736, 3.567914464209238]",Baja California,True,location_NVW1J1RZWV
UK,"[91.44149916652646, -55.66127813170876]",Bavaria,True,location_S2CRMMLNFJ
Germany,"[-14.48286070788555, 11.210335354206762]",London,True,location_F63M4UOSIR
UK,"[-114.35608051390511, 10.119523296047234]",Baja California,True,location_YY1QWRFSO2
Canada,"[32.333459602994225, -74.04796912376261]",Ontario,True,location_695QCM40B1
France,"[-28.505769543529198, 40.85806732258641]",London,False,location_COM9O4T0SS
France,"[-8.119732162883594, 44.608181841771824]",Ontario,True,location_A3ATTUQV80
Mexico,"[-136.00346436943232, 66.70240060129888]",London,False,location_CPLCT3XTZA
Mexico,"[-56.492506520267796, 21.941253203707717]",London,True,location_QHF2AYV42T
Mexico,"[97.59287362259147, -29.26630075541877]",California,False,location_MNKDYYO6Q5
UK,"[54.869347563290574, 45.29255095866753]",Ontario,False,location_8IT9LT4WEF
France,"[-38.09553389508454, -76.54158061611473]",Bavaria,False,location_JYK8Y7OJ43
Germany,"[-84.70288255386234, 32.58753923491251]",Ontario,True,location_JA90RQ6EIC
UK,"[-24.391334795956226, 1.0294211125740418]",Bavaria,True,location_2CYFO6E4JM
UK,"[155.54603545021894, -76.38110277292272]",Ontario,True,location_WTATPXMQ1V
UK,"[-17.053444563543536, 82.25172870903796]",Bavaria,True,location_K6A16EZP15
UK,"[-58.44054323433191, -5.248778580487965]",London,False,location_ZTONHEYBFF
Canada,"[67.71480491411432, -34.84018662797524]",Île-de-France,False,location_NMB7UDU2GQ
Germany,"[169.82296201620602, -89.22157028941483]",Bavaria,True,location_K8ARSQQT9N
USA,"[168.7659806642705, -39.176177455468476]",Ontario,True,location_ASU9GB7GJQ
UK,"[-75.34758828579916, 65.0664940520968]",Île-de-France,True,location_1LARYRDCLQ
Germany,"[-52.165405926108306, -75.63248408994758]",Ontario,False,location_ZHSV5RT6XN
France,"[-123.13040877434838, -88.408939735986]",California,True,location_E1PMWZOZYQ
USA,"[-92.36515781050245, 89.04193331377886]",Ontario,True,location_N9J6JM2GOZ
Germany,"[109.6374170772093, 42.98674570098112]",Baja California,False,location_DQ8Q9YDKYD
Canada,"[104.07037907633395, -33.28764719245507]",Ontario,False,location_Y8ESNF3QWL
Mexico,"[15.59764572906397, -36.56719914855338]",London,False,location_EAZGGXNPSH
Canada,"[83.35632532302208, -30.171598630368074]",Île-de-France,True,location_MFI0H1JNR2
USA,"[88.57525700081493, 16.800400112059037]",California,False,location_1Q5BCJA2A0
France,"[-2.700354228102782, 52.839144796001676]",Île-de-France,True,location_FMPJ0UZFIK
UK,"[-13.248032799248023, -55.78306270529559]",Bavaria,True,location_WJ6AR87GP8
USA,"[-145.8753702250287, 51.61790707217315]",London,True,location_8KR17QWDS0
France,"[-57.74504273666804, 40.27513181087161]",Ontario,False,location_UCIFKNIPFE
USA,"[151.28198299557704, -29.81532375327231]",London,True,location_X86A328IS3
Canada,"[-41.24166367800618, -79.20155251317313]",California,True,location_82SYE12TK4
USA,"[-155.3052701748776, -53.30104743194214]",London,False,location_04NEDFQAMC
Mexico,"[168.63437520794054, -51.13485070321889]",California,True,location_HLQDO0T3BH
Mexico,"[179.8810674002841, -68.28484723119107]",Île-de-France,False,location_W924234VWN
USA,"[-149.7548050116446, -82.72521814316939]",Baja California,True,location_XIKWFM2YI6
Canada,"[28.55458189438113, -42.042658441765795]",London,False,location_95GJDETDVQ
Mexico,"[-37.95932378752414, 11.850100379979821]",London,False,location_RXF2G33W3S
Mexico,"[-23.440215077009128, 78.17953529037791]",Baja California,False,location_GU8F4RCU2N
Germany,"[6.593822136983562, -87.64174053080917]",California,True,location_CBKIIF5F6K
Mexico,"[-12.288665281007042, -49.44877831891496]",Bavaria,False,location_URM5C7CBAT
UK,"[-121.01444521788518, -71.83041390452357]",Bavaria,True,location_7XUERY56SN
USA,"[165.24489739338367, -37.27023928934068]",Bavaria,True,location_MPNQO9UOH9
USA,"[164.9376464704216, -2.1474739021565767]",Baja California,True,location_4258ZVB7IX
France,"[165.1247905593534, 5.743940598743151]",London,False,location_6J8G710JG2
Canada,"[-41.51411463183217, 63.639753282395446]",Île-de-France,True,location_33PM8OBX2R
UK,"[-83.41061745071184, -17.083372426915048]",Île-de-France,True,location_24EP74TNH7
USA,"[-29.997352169849705, 88.82685013662353]",California,False,location_LD99IH4LGZ
UK,"[81.26692691580917, -48.785160046553784]",London,False,location_917BPTWYDZ
USA,"[131.92846725830822, -6.85956248779388]",Bavaria,True,location_BGQL93S8HW
France,"[-172.79689944438422, 42.902726710191274]",London,False,location_PASP1K7L1E
UK,"[80.40042208896631, 39.63885071118082]",Bavaria,False,location_U9DRBRSVN8
USA,"[171.38013245233452, 10.538717373206751]",London,False,location_GJ39FA2RHF
Germany,"[97.508715964202, 6.628457223200854]",Ontario,True,location_QVDMEMJGZC
Canada,"[-138.12629241839835, -15.375261868937287]",California,True,location_VLG7GJN45Z
USA,"[-132.23747091875634, 49.364189610198395]",California,False,location_29IO56T7KZ
UK,"[150.1490304224045, 14.091090588302563]",Ontario,True,location_2WXY9PZ2QB
UK,"[-21.213037214186215, 15.169487759764053]",Ontario,False,location_GPIKMWLI3Q
UK,"[-1.9177801712372684, -8.624632279993406]",Baja California,False,location_TGQ3PAC396
Germany,"[106.46879516132981, 14.295265962134081]",Île-de-France,False,location_MJD19AJUMW
France,"[-115.52773586272708, -48.16273016376874]",Baja California,True,location_QNEAMDSTHX
Mexico,"[-130.95235870603796, 24.087595288369343]",London,True,location_P788I1ZUQA
UK,"[6.815168816983345, -41.98878194375218]",Ontario,False,location_U8YMO4J9ZM
France,"[-169.6100695060136, 28.558961361736223]",Ontario,False,location_YP6M44FE2X
Canada,"[-144.20266500958877, 41.70590904861493]",Ontario,True,location_OJ2WOLH75J
USA,"[22.391074390925098, 78.12873018217365]",Baja California,False,location_5PQY5DR96C
UK,"[116.30714797254717, -86.89826938027325]",Baja California,True,location_WJEBYTJAM6
UK,"[-50.21834755725607, 28.16640198535164]",Baja California,False,location_NIKG4DCVDW
Germany,"[-51.91907360842964, -87.31013124567343]",Baja California,True,location_7V4IORROUY
UK,"[-43.07142173116955, 11.945344256306555]",London,False,location_NG22ERSEB2
France,"[-27.082661258601348, -11.997224283484542]",Ontario,True,location_EF3KLLB0M4
UK,"[3.679742699264324, 51.031731735824906]",Ontario,False,location_PSVAYLA4JF
Canada,"[29.47523506546304, -73.29438786618772]",Ontario,False,location_52K5H9VTBK
UK,"[174.3339570842041, -3.8085426520727026]",London,False,location_PH3UGQTWW4
Canada,"[171.3038456113527, 0.2823669320097508]",Île-de-France,False,location_EJEQ7B02NB
Canada,"[-137.344341931646, 30.70971456669298]",Île-de-France,False,location_HKAS223MWM
France,"[-19.411671075383936, 32.5899926414173]",Baja California,True,location_GOZMDDBKL2
France,"[-38.416039772366645, -83.54419269630267]",Baja California,False,location_NGMG0ACW4I
Canada,"[51.074746831676094, 29.412799287028008]",Bavaria,True,location_1NFVKVWOZY
UK,"[60.20137772902453, 38.40417219290421]",London,False,location_IWQPV6E637
France,"[-4.715689461463796, -34.965707522036446]",London,False,location_TBXFV768AO
UK,"[8.033272364809307, -86.72914591790712]",London,True,location_TPJOB1LEQE
Canada,"[-125.28007586928285, -6.257089105633241]",Baja California,True,location_5L4T74MSDL
Germany,"[-52.55748335295145, -22.23443096977344]",Ontario,False,location_PEOD2TIQEE
USA,"[122.93034969110084, 3.576446210572911]",Ontario,False,location_EPGIXWWE8C
Mexico,"[-98.18148544968996, 37.53354157315468]",Île-de-France,False,location_GO0HK9AX7C
Mexico,"[103.38464068195282, 5.219507964401302]",Bavaria,False,location_3YP774HBT0
UK,"[-120.31612219673238, 26.05020681079486]",Bavaria,True,location_7MIPBDPXV5
UK,"[-134.7657924643471, -10.380514446793143]",Ontario,True,location_AM8VKZKAN4
UK,"[102.4423937034743, -4.438565480122719]",Île-de-France,True,location_4KGS0UFFFP
Germany,"[172.89846993144033, -72.27907678162123]",Île-de-France,False,location_U25UQVBB7C
France,"[44.574980811390105, 17.336380539822102]",London,True,location_R39A5PRGHD
Germany,"[76.8063997159631, 56.94263270315989]",Baja California,False,location_AV63S3HFFW
UK,"[-82.20652588983802, -17.269532862876645]",Baja California,False,location_Y2ESN0KA3A
Germany,"[-63.88954343248933, 48.74129391880575]",Île-de-France,True,location_RMB7BZLO2U
Mexico,"[176.2512953628913, 41.47416005219415]",California,False,location_4R15IYPLVI
UK,"[-28.2533636659268, -10.09165079089749]",London,True,location_5RXGRFA7P3
UK,"[-1.3312410002803006, 42.391257768608085]",Ontario,True,location_PNLQEKXAQT
UK,"[-108.72544825184066, -12.819035945467647]",California,False,location_N1X45TROX3
USA,"[-28.11543156398801, -23.845564082521307]",Baja California,False,location_YU7PAOUDLC
Germany,"[-11.312417802313547, -3.515252738418198]",Bavaria,False,location_C1XX37NC6N
USA,"[-81.26112494747886, 27.241838072104144]",Bavaria,False,location_NUKXWIK86P
Canada,"[34.17685886598855, -80.50303929497531]",California,True,location_HA1C4SSS8A
Canada,"[146.8250384013278, 70.62632483362]",Île-de-France,False,location_QL3VO4M9UB
France,"[143.34846740667513, 17.607510263237927]",Baja California,False,location_H6MF949COB
France,"[-73.31098200168191, 72.4286670054386]",London,False,location_VATES1B0SE
