fecha,texto,hashtags,links,id,topic,mentions,ubicacion
2022-09-27,Tweet 20,"['hashtag_N4F4ZUOFJT', 'hashtag_3PYV166MRF', 'hashtag_EDSXMVQB11', 'hashtag_TYZOB0W3KE', 'hashtag_4FUVN4W0SP']","['link_E31WW4TIWB', 'link_VAVXW7K9ZH']",tweet_B983EQ1SZS,technology,"['user_HWRSOLW8NV', 'user_5A5S7U4267', 'user_WK6UDKE1CP']",location_Y2GNXAPS00
2022-08-16,Tweet 21,"['hashtag_6A8PUDI32P', 'hashtag_2S9FWH388H', 'hashtag_0BZUAPCMCG']","['link_E19SYP2W5H', 'link_5IDQK55CUP']",tweet_3LLEZW69P9,entertainment,"['user_77QHDJUGL7', 'user_3ZJG188NBZ']",location_AD2D5V6SO5
2021-11-14,Tweet 22,"['hashtag_NS4MBEU87I', 'hashtag_EQAD8YMBML']","['link_FP4RPCCJVZ', 'link_W4UN3DBHWY', 'link_BWHXQP1HOJ']",tweet_QU2BKW8XQU,technology,"['user_GZJPFT1AFX', 'user_B7S612MK9J', 'user_YL41YHRGSX']",location_LAC3ZJ5P14
2021-06-19,Tweet 23,"['hashtag_QPCR3SRU55', 'hashtag_M4F9TQLDPA', 'hashtag_ZC2VVNFOV9']",['link_EHVLFIWYJC'],tweet_JZBF90GH1L,technology,['user_BWTF64R7AN'],location_U7MP1MOUPA
2020-09-13,Tweet 24,"['hashtag_CPNH4G2XYH', 'hashtag_ZV4CUXBVJM', 'hashtag_ZL8RAVKM6P']","['link_5L5IHL6B0W', 'link_G9O84XMQZP']",tweet_RWYEYLRE7S,sports,"['user_M9LJ04LOYO', 'user_Z2515YB3ET']",location_M8K22XZDM1
2021-11-28,Tweet 25,"['hashtag_F680IW1LG7', 'hashtag_REY9P8PI3O', 'hashtag_7T5RPNYU6M', 'hashtag_SAFOD9HBC1']","['link_DRSI35BH08', 'link_K7PYKU08RY']",tweet_8ZSR523J6A,technology,"['user_ZFT88TC0X6', 'user_GLN3HEF8WK', 'user_UW80YE7P2N']",location_YIL2QI7DAH
2023-06-23,Tweet 26,"['hashtag_N10WE4MSDJ', 'hashtag_FOQ0V03LEI', 'hashtag_E2Y2GD4E8Y', 'hashtag_JI29DFLZNM', 'hashtag_VBOPZN8IWY']","['link_X6WHM3H4ON', 'link_SZTS60Q1DC', 'link_1PCVFE3WMG']",tweet_RTWMMAJMKU,technology,"['user_19LASPIGCQ', 'user_4500KBNBE8', 'user_5ABKDP154Y']",location_PKG04Y6B5T
2021-05-06,Tweet 27,"['hashtag_TQI8HI3T89', 'hashtag_BMD57B5QIJ']","['link_MR19O5DG2J', 'link_IRL3XFQNXY']",tweet_H8ZGVV48TU,technology,"['user_EGZFJPKZZ3', 'user_ZJG3VOAFSI']",location_6UAIR0H9JU
2023-12-23,Tweet 28,['hashtag_89H1D0P6LF'],"['link_WB31N07G6F', 'link_MHYD6KZSEG', 'link_M8LIQDYXF3']",tweet_O5HXETD6O0,technology,"['user_QDBWYL6N87', 'user_6ISUWSGAAM', 'user_MJ4ZGUM124']",location_1WYQPDNT8J
2021-02-05,Tweet 29,"['hashtag_2FJHWI8JTU', 'hashtag_O98N9MJC7J', 'hashtag_COGZF6T23X', 'hashtag_OZOGI3VWXC', 'hashtag_V9MOPQSI1A']","['link_Y6W0P80OQ9', 'link_3H41L1QJ0G']",tweet_PIR0YAV323,politics,"['user_IQRLQ7J4J6', 'user_S862J7MV0K', 'user_OHJKY32FW1']",location_5GQ8NCZ1K8
2023-01-07,Tweet 30,"['hashtag_XA3LWKMYZZ', 'hashtag_Y3XOG0B39Y', 'hashtag_KA7P00UF5Q', 'hashtag_BUJEKJF8PD', 'hashtag_N959VEONVR']","['link_L3U0ECBOQA', 'link_O9QBXZ9U35', 'link_EZ8LZ86TQC']",tweet_K7X8CK4HWW,technology,"['user_575FITFIPB', 'user_27G95XGK6U', 'user_STELMAOL5S']",location_5XAPO49LYT
2021-06-28,Tweet 31,"['hashtag_300BE258J5', 'hashtag_MYZB0BV65G']","['link_TKI2NJ887L', 'link_YH3PMWK8DC', 'link_SKPPKQ91Y6']",tweet_HDLN82JNF5,sports,"['user_E4K3UUO06U', 'user_MANRXKE1SW']",location_DPO9BYSXWI
2023-01-22,Tweet 32,"['hashtag_RAOKLKGY7J', 'hashtag_EBDAS54JZW', 'hashtag_5XD9HGJ53R', 'hashtag_M1M88RI5BS', 'hashtag_3I18XDRV2V']","['link_VT3R6WQXJG', 'link_BY64M5H1CA', 'link_5AV3QRUBMA']",tweet_BBXSJZP7T9,technology,"['user_BSO05L2S4W', 'user_GNA18PRLN9', 'user_6BC7NCIIGD']",location_H17LDX1VPB
2022-02-07,Tweet 33,"['hashtag_06IH76TF8J', 'hashtag_GQS8VXVXWX', 'hashtag_S0IHI5F7Z4', 'hashtag_ZQVHADFPZP', 'hashtag_ATTQW8JL9B']",['link_E0IEH7CHLB'],tweet_1TTH87B548,technology,"['user_Q729XUXSMU', 'user_K3I926CFO7']",location_2A5SK4J9KD
2021-06-17,Tweet 34,['hashtag_6BEIYQCIQU'],"['link_VGQHRP43SQ', 'link_MPBWU8RZ2L']",tweet_RC97UWL87I,politics,"['user_HU3BIGYX58', 'user_MR9QHG9J1V', 'user_5PV065YG8J']",location_801NPB5VYH
2021-02-14,Tweet 35,"['hashtag_GLIG7SQ3YO', 'hashtag_HI1H2TKJ2F', 'hashtag_G2BMQAGNL1', 'hashtag_9I0WE6NYW9', 'hashtag_TA1Q55WD63']","['link_SZN1AHYZFK', 'link_4G5MD6H6H1']",tweet_ZLPOQ1T479,technology,"['user_N1TVJZ2XTQ', 'user_ULS3HSHOU4', 'user_XF6RSKI9UL']",location_SY2MY8MR8B
2021-03-24,Tweet 36,"['hashtag_8F3RP9UCAW', 'hashtag_08UHN7ISC3']","['link_CSY00RS9JQ', 'link_QJNLTVTDOI']",tweet_NLIL993C0X,politics,['user_19NBA9OQKF'],location_C6I954CQJ7
2020-02-23,Tweet 37,"['hashtag_U0YZGPOCDP', 'hashtag_MH35S3KZJ6', 'hashtag_3U66RL3AX1', 'hashtag_4OEKLMLEN3']","['link_WPMWGCCYGA', 'link_HTIEPYN068']",tweet_FSKYG92URG,entertainment,"['user_OLTBXLIJ2J', 'user_KR7P31LHDR']",location_QF64YVDHR1
2023-12-04,Tweet 38,"['hashtag_4BO7A3K3U1', 'hashtag_Z0QXAU96QV', 'hashtag_T4XVFTA5TU', 'hashtag_AM4A4GLBZA', 'hashtag_77E2CEN9G5']","['link_HCBB6RJH36', 'link_A2W9VOIQ4K']",tweet_9FFGXMZ6YQ,entertainment,['user_71KB74WKI4'],location_S1T74TYVS3
2021-09-13,Tweet 39,"['hashtag_NPR9EGF8SX', 'hashtag_NBDZ7Z8LLI', 'hashtag_35YITOQ76M', 'hashtag_M1HUMXADV1']",['link_PR8E86USAZ'],tweet_I8KJGSPCOY,entertainment,['user_13MAH8WOMU'],location_9LNWX4PDVI
2022-12-19,Tweet 40,"['hashtag_OVBLMA8SER', 'hashtag_ZY6QIF0WK9', 'hashtag_0TQ7O5MF6T']",['link_ZRR7N1U0T0'],tweet_5KMAZFNWSH,technology,['user_U49TFS82VZ'],location_0S40HWC5HP
2022-12-03,Tweet 41,"['hashtag_8JT7V7WH5N', 'hashtag_FVBLOSUYAE', 'hashtag_TK77DNFTCS', 'hashtag_IC8LISJCVQ']",['link_RIUY1SJGP5'],tweet_SKINOBBZ0V,politics,"['user_X2CN13BPQB', 'user_1I7CA1JVYC']",location_WMNETVELOB
2020-04-03,Tweet 42,"['hashtag_66ZDASUL83', 'hashtag_I2GUY5F87L', 'hashtag_E3V0FCALBS', 'hashtag_6967ZHFATS', 'hashtag_IYTKX769AK']",['link_21LZF5CEYI'],tweet_9IXNVZW6CV,sports,['user_OS3W8AM3KM'],location_KMYERBG52R
2022-09-17,Tweet 43,"['hashtag_KL9LMXOFG3', 'hashtag_R62ESRMDK7', 'hashtag_3A9KOZ8W8O']","['link_L70WLLASR9', 'link_K6VLP8MNC6']",tweet_EFL8AR0IJP,sports,['user_WU0X4UHH97'],location_XQCY6P2U7I
2020-10-17,Tweet 44,"['hashtag_KNV07QOM49', 'hashtag_DIIUNOFLWS', 'hashtag_6OXO7LPOIL', 'hashtag_0WIDZABFJV', 'hashtag_KJWVQDURUO']","['link_MEZDPSSUHV', 'link_2KT289K23Q']",tweet_VP5NHVODGN,technology,['user_4MU0W1PGYX'],location_K4KF6NCKOJ
2020-10-11,Tweet 45,"['hashtag_PBSTMINJ87', 'hashtag_CY3HVXGISN']",['link_4VLGDGB2AA'],tweet_QRWTJ2S072,politics,['user_7XIH152ZXC'],location_DDE9FERSMT
2023-09-24,Tweet 46,"['hashtag_DDQKPCJNQE', 'hashtag_ZIWGUXPFJC']","['link_0JACJX1FR9', 'link_OEJHM5FZ7T', 'link_RKMZWZNV23']",tweet_X4DBNZFTYY,technology,['user_P0GSAPPGKA'],location_HNZ3L8RDWC
2023-04-04,Tweet 47,"['hashtag_9859AU3KRV', 'hashtag_QNHMJ7YY6I', 'hashtag_Q6ODXNSPZI', 'hashtag_O8731XCD4I', 'hashtag_5LUVINWXBE']",['link_P5ZQXZOK2Z'],tweet_DB5MX2B6E3,politics,"['user_8IDOLDRBZF', 'user_CI0E03KTD8', 'user_EBZ7IWHR69']",location_F6TU5ORBR1
2023-04-05,Tweet 48,"['hashtag_YM64BAFVM3', 'hashtag_WE7VIUWBHE', 'hashtag_3XI5B99W9A']",['link_9VY4NGQYPT'],tweet_HMPE5RP66B,entertainment,"['user_BDLGTY4G37', 'user_14HAYABML4']",location_37I4439AWE
2022-04-22,Tweet 49,"['hashtag_KZ2XXCZMHA', 'hashtag_KR7XWXL3VA']",['link_H22YBVAJVK'],tweet_HEC9A1OURD,politics,['user_8OM7NPO0JR'],location_0LAACCKW0G
2022-01-11,Tweet 50,"['hashtag_BQEOXWR7JZ', 'hashtag_1UEJTAXU0T', 'hashtag_WBYVG2T8V9', 'hashtag_RTU867FL1G', 'hashtag_MKK6SVB6IZ']","['link_67CM1PONG5', 'link_DOIQ72MGEW']",tweet_A0APS7YTY4,sports,"['user_ZW9KO4533P', 'user_E9A1B7KPZQ']",location_IHBPQZHFKU
2023-08-25,Tweet 51,['hashtag_TEL7UWHF34'],"['link_GPFHTB0IPO', 'link_ALSTKK9D34']",tweet_KIAY7URE11,sports,['user_IHXSUUEV2M'],location_DCCFAUCFJY
2022-10-24,Tweet 52,"['hashtag_UXZVH3IIBR', 'hashtag_0CUVG9XZ1N', 'hashtag_YZK2Q8559E']","['link_YTMLDSNUG9', 'link_F8FAZ3W2HD']",tweet_58II1ZLJW1,technology,['user_XLTM5U1CHB'],location_38LVDJ5AGH
2021-10-24,Tweet 53,"['hashtag_AQEL0RX5RM', 'hashtag_F62EN95JO4']","['link_4IWLXCH6AM', 'link_OPCIU20H50', 'link_EHBT1ENHVB']",tweet_34BJ618SMF,sports,['user_P4TXWLDM5H'],location_2K15N1Q3JT
2020-07-15,Tweet 54,"['hashtag_M293VAIJ4L', 'hashtag_KUM83R1MX6']",['link_TV7MS4UCN3'],tweet_TGBDCQXEUS,technology,"['user_NSJQQEAZ0J', 'user_4ASQHYKTEC']",location_MVRJWLY2R4
2020-10-06,Tweet 55,"['hashtag_8X0F2V0D81', 'hashtag_A64MHQ9AFC', 'hashtag_5IN2A57YNO']","['link_N5VZXI5WRH', 'link_D9J6119XGI', 'link_ZCHI1M2GBS']",tweet_KXLW5RT9LF,sports,['user_1Z6LNC8EFC'],location_255U0BSZ34
2020-01-12,Tweet 56,"['hashtag_GMM9QKX71Z', 'hashtag_9X3AP2ILDA', 'hashtag_Q8GMBJQVBR']","['link_19G0WYT7C1', 'link_G2PH9NMXRZ']",tweet_R6WT4PODW6,sports,"['user_YTH0DE2LMR', 'user_37IR24SYVG', 'user_EBS6O6UDUL']",location_UQJZQF3CK3
2022-03-01,Tweet 57,"['hashtag_K1UYQJP0MF', 'hashtag_5KJRK861O2', 'hashtag_1SFHHMJY8I']","['link_RAE84VWLGS', 'link_NF5RSSQYA9', 'link_PV2Y9SWQCX']",tweet_1K6MEYXW4A,technology,['user_63ORMT83RG'],location_92RP688OOC
2022-04-17,Tweet 58,"['hashtag_HY4324FFLX', 'hashtag_JM10K2T3HJ', 'hashtag_L7C8JEEK83']","['link_FC4KZ1L8NP', 'link_ECNX7DG8R7', 'link_VCSN4YHHAN']",tweet_N63KF8M5O3,entertainment,"['user_JY4HI64VKN', 'user_HE0ZJVL5HO', 'user_GMGT0O6IWX']",location_2V537MCT3W
2022-05-01,Tweet 59,"['hashtag_O0TKKH2TKP', 'hashtag_L2WKZPPMMZ', 'hashtag_HODTBVG9NP']","['link_GFMEUXFOAS', 'link_MTCBGOJEA1', 'link_7B2MJHE1S4']",tweet_D0EXTC9TM2,sports,"['user_7VD36EVH8T', 'user_JC1BJD0ACK', 'user_NNX7M12M1D']",location_42PDGVPYOO
2020-11-01,Tweet 60,"['hashtag_JTCMD0WUOR', 'hashtag_RQ5V0ILWNB', 'hashtag_BEZ5IWM0CG', 'hashtag_9WF8TWXR1Y', 'hashtag_Q191Z9D0BJ']","['link_O9SN5M77DE', 'link_HH0KDHE3QE']",tweet_ZYB2MH6LIX,sports,"['user_STB1V04MXX', 'user_IZJAKU7END']",location_KN3WQCP3PY
2020-12-09,Tweet 61,"['hashtag_W5NI9WI2QA', 'hashtag_QR7XSKS7IO']","['link_Z2BAJCQ6UM', 'link_3RB5R9AJ8F', 'link_Y11LLX33R4']",tweet_NRY1DIT4I1,technology,"['user_1T9Q7NNT2F', 'user_GU8P2U5S2G', 'user_76KYWRWIG6']",location_VZFN15QF1X
2021-03-02,Tweet 62,"['hashtag_PII3ENL8HQ', 'hashtag_6YO2BWLF3Y', 'hashtag_X9GNMPE327']",['link_A706F5LVGQ'],tweet_8WJAQOWWTH,politics,"['user_TPG7G64HN1', 'user_LD3OK9S0DF', 'user_T43MX9D4TD']",location_90LMYUW9T3
2021-03-03,Tweet 63,['hashtag_FVYPBLRR8Y'],"['link_YN96U18U0R', 'link_3DWFIOAER6']",tweet_EOFQHZ0JB7,sports,"['user_79018W1A28', 'user_ATMZM93L11', 'user_0MQSLNBPZO']",location_JM1ADNT79A
2021-07-27,Tweet 64,"['hashtag_NT4MDQ7B39', 'hashtag_JOM4VDNNJ9', 'hashtag_VME3HNO7GE', 'hashtag_54U8U3QLDH', 'hashtag_D137FXZWMC']","['link_QVQTEDA6CX', 'link_IQNDJVMVS6']",tweet_XG0N214GZZ,politics,['user_82H98NHEBU'],location_GZD4AVK4BA
2020-09-09,Tweet 65,['hashtag_CYAJO6GQ1Y'],"['link_4US2X1XSRN', 'link_63HEQV1KZS']",tweet_0COXYXZORA,technology,['user_1GDXKJ7MX2'],location_YXYXOE63JX
2023-07-27,Tweet 66,"['hashtag_Y7YACB9Q9Z', 'hashtag_L9N7HIROQR', 'hashtag_5SUBDN0OC8']",['link_KXITIL2KJ6'],tweet_M9YOJ2ED44,politics,"['user_BJDQTJDWVA', 'user_E79TTR8R63']",location_IFYOTYM5XL
2023-08-04,Tweet 67,"['hashtag_NROH0COKNB', 'hashtag_DRI38AVOOA', 'hashtag_S0F1GNDYRS']","['link_BQBIWD9N3G', 'link_PQX6DOS6W3', 'link_ZEHXC1844G']",tweet_F5DDPU6LHA,politics,"['user_WIRTF5YW53', 'user_NNYCTOCE7T', 'user_MLMQTPV2UX']",location_3MGO5VNK0D
2022-02-26,Tweet 68,"['hashtag_4B5JXGELA1', 'hashtag_7PPBDQ1Z3U', 'hashtag_YQQSJNUT55', 'hashtag_25DBWPLBUM']",['link_WH43A3VVAE'],tweet_CWWTUZ71UV,sports,['user_ZHHMBBZC0R'],location_P8D3GY4LPK
2023-06-24,Tweet 69,['hashtag_M7BHKK18B9'],['link_RUWJ774MLV'],tweet_0AI7FB3T50,sports,"['user_7VOOQ95IKJ', 'user_KTZSKG7IRN', 'user_HCNA47AC86']",location_H2GROA2291
2021-12-11,Tweet 70,"['hashtag_2L67ULPQXK', 'hashtag_5QWXOMFCHV', 'hashtag_MR1FFGIF5I']","['link_KURX49QSQI', 'link_A1KZD3NK4T', 'link_2QXW9SQIHO']",tweet_21PLPAVGLF,technology,['user_VJ80QR7R4I'],location_7XPAXXDQ45
2023-12-16,Tweet 71,['hashtag_OT5E439EVF'],"['link_4RQE8PXH0B', 'link_TH0617CXTY']",tweet_C5Z6AXJYZ4,technology,"['user_UYDXK6ECRX', 'user_MMEIIQP266', 'user_IWW2OT4PVI']",location_IM8IHAULQT
2023-08-14,Tweet 72,"['hashtag_0DI48VH0JJ', 'hashtag_R9QHUXJKBH', 'hashtag_R0TPXW3OJ5', 'hashtag_C7AMAUJFQ4']",['link_9LMSPZE3Y2'],tweet_JK44QOKKMX,sports,"['user_QV8AYW3C8H', 'user_NX5P2Z67HW', 'user_QMJSM7Z08H']",location_86PFS6L7CT
2022-06-04,Tweet 73,"['hashtag_H8NI6YIV2J', 'hashtag_IMYOLG76Y5', 'hashtag_32MSCJ8GSU', 'hashtag_7F2QG1IIEI']","['link_ANH58R0FZB', 'link_7VKIO1L9WC']",tweet_UVOVQYLJM0,sports,"['user_S4F40ODU4U', 'user_VAHVCWGRSR', 'user_ERNNS82S75']",location_Q0Q7XW98QV
2023-02-02,Tweet 74,['hashtag_TL2OQQW1P1'],"['link_JQOBECIOC9', 'link_P2HBPY3Q2U']",tweet_RL39ZJGBD1,politics,['user_FUX43XMA48'],location_R4B9SSORBL
2021-05-16,Tweet 75,"['hashtag_QSH7SMPYHH', 'hashtag_6W754HE7EK', 'hashtag_7FKLYO341F', 'hashtag_ERTDT7Y6BI', 'hashtag_6SG5EW4W1W']","['link_1ADO7AX7LM', 'link_082577L3KT']",tweet_7L1FJLLIW5,technology,"['user_PF04MOJOC8', 'user_PKB0JLQI8E', 'user_IV2EQT8HF3']",location_IQUXNQVDU3
2020-04-06,Tweet 76,"['hashtag_KSSAN57TTJ', 'hashtag_SWO4P62FTM']","['link_GMQ9N24W7P', 'link_M3O7G6J6C8']",tweet_XINUAVOMHJ,politics,"['user_IEELGAI819', 'user_5J9SSVGJTC']",location_FJXK6OC6NC
2020-04-06,Tweet 77,"['hashtag_EDPK01EOB5', 'hashtag_IK1PKYD8IA', 'hashtag_N30KMJOE5J', 'hashtag_TED23IVU4G', 'hashtag_X7VNC6DRBJ']",['link_BIS2J22A2M'],tweet_3XA4NWQQAN,sports,['user_8AQTPPIQG6'],location_IA3H1R3MY6
2021-09-22,Tweet 78,"['hashtag_ZW6VPZTIJG', 'hashtag_7LKB7KNHXF', 'hashtag_QRSPPFWUUW']","['link_XDL4ECD7PJ', 'link_LDATBGRAXW', 'link_GE2JHB1IXS']",tweet_AKSRQIU7HL,entertainment,['user_WPHZI5AIBV'],location_AL9VRAMXIJ
2023-05-02,Tweet 79,"['hashtag_NTJUGFBAUG', 'hashtag_F1LL55LP6L']",['link_5Y4FAJDWSU'],tweet_U5RGZ0UXSD,politics,"['user_L92PGVCF10', 'user_MRN95GKKC3']",location_L8ZB0GAKYO
2022-07-27,Tweet 80,['hashtag_AXXF130L71'],"['link_IQ9XRHNU9T', 'link_NUDRQGB3AT']",tweet_PIZG5VZUHT,politics,"['user_1UEXT5AXDP', 'user_7HB927ZBCA', 'user_PLK2CB5B7I']",location_GVUGY8UNJ3
2022-08-27,Tweet 81,"['hashtag_EP1ZUH3A4O', 'hashtag_PLCMUEX4N2']","['link_3ZKMA70TYZ', 'link_JLE80934CN', 'link_H7YTQISLS1']",tweet_NZUYIWMKVT,politics,"['user_LTAHH94E49', 'user_JOKJHXJ559']",location_SVY8G7RAM6
2021-10-15,Tweet 82,"['hashtag_Y84IAANW0K', 'hashtag_YWW3WQ7RAQ', 'hashtag_AMT9PV82TY', 'hashtag_WFUES4LKJO', 'hashtag_4XAJN35KYO']","['link_NOR87EJHEZ', 'link_CG41TQHEOB', 'link_W7T42WMIQD']",tweet_J2N1LPN3EM,politics,['user_4GSG84L59Y'],location_H18BPCMCIH
2023-03-19,Tweet 83,"['hashtag_IXVGK0SOBI', 'hashtag_OO3PWO3Y5D', 'hashtag_24VC7LBRC1', 'hashtag_EFXIWBPG9H', 'hashtag_RRH2VW4FXX']","['link_JWMI0F7S06', 'link_K9E4XGMPEQ', 'link_WJHNC4MLPX']",tweet_H7325QMPNQ,sports,['user_V9GZBKUB12'],location_2LMBQ401YL
2022-12-21,Tweet 84,['hashtag_2DKROSN4UD'],"['link_23VUVOPAQB', 'link_FULK2MUV1B', 'link_4TQHRLTMNW']",tweet_L9QYK326A4,politics,"['user_R0KL9HIY51', 'user_VFOEFJDLPL']",location_INSG1WIT5I
2023-07-01,Tweet 85,['hashtag_AI7YLQANZU'],['link_Y0NXUT93F4'],tweet_ISDR2W9S8X,technology,"['user_NNMV5X4TGZ', 'user_ZAPTNYXHM9']",location_FYDNI5CLB7
2020-03-27,Tweet 86,"['hashtag_RABSDMN48X', 'hashtag_SETXTQSA3G', 'hashtag_SG5NNCY1SM', 'hashtag_KIJR8T37MJ', 'hashtag_KYFAX2TG0M']",['link_PUV0CAUVRY'],tweet_7VUSWSH7ZS,technology,"['user_6S0BH1EC30', 'user_VN463FVY8Z', 'user_X51UE8LZH1']",location_9W86JJDV4S
2022-09-15,Tweet 87,"['hashtag_M57EYE1HMS', 'hashtag_99LAWPSDHQ']","['link_MV9VP3UY65', 'link_FI0UMOB4TD', 'link_9FG17MXKF7']",tweet_BJY3GLUV5Q,technology,"['user_UX2DWUUY72', 'user_O8XK8DYPIG']",location_VXPQESRWRB
2023-05-09,Tweet 88,"['hashtag_OWQDPMKYXE', 'hashtag_K95EBDTINL', 'hashtag_SL6OB9ERUN', 'hashtag_POOE7F11KW']","['link_G191CNCO60', 'link_G5PG58KYPB', 'link_BKQVXP21NN']",tweet_ZZFY156PQQ,politics,"['user_M8JMJ5HT1M', 'user_D5NGH39H8A']",location_YOSWPQ76Q7
